keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
portfolio manager,5,True,49,223,1,280283211965,finance,1778832818.364773
pregnancy journal,5,True,70,219,1,280125433823,medical,1778832840.9517481
pregnancy week,5,True,69,225,1,5851887,medical,1778832840.951755
pregnancy week by week,5,True,70,202,1,280269830713,medical,1778832840.9517581
prescription tracker,5,True,58,217,1,214104401,medical,1778832840.951762
quit alcohol,5,True,65,232,1,22043738647,lifestyle,1778832865.939666
quit drinking,5,True,62,233,1,22043738647,lifestyle,1778832865.93967
recovery app,5,True,60,232,1,22043738647,lifestyle,1778832892.639364
remove unwanted objects,5,True,62,238,1,336989865805,graphics-and-design,1778832918.877193
room measure,5,True,56,231,1,335969042893,utilities,1778832918.877219
roommate expenses,5,True,46,228,1,7237471,finance,1778832918.8772311
scripture widget,5,True,70,219,1,338201980548,reference,1778832945.0543349
self discovery,5,True,42,225,1,280242922199,lifestyle,1778832945.054359
selfie analyzer,5,True,53,196,1,337304024617,lifestyle,1778832968.4396899
shared budget,5,True,60,232,1,9354933,finance,1778832968.4397051
shared expenses,5,True,43,232,1,7237471,finance,1778832968.439708
skin smoothing,5,True,73,219,1,304369060311,graphics-and-design,1778832968.439711
smartwatch customization,5,True,58,215,1,42019540235,lifestyle,1778832998.77906
smartwatch faces,5,True,63,222,1,42019540235,lifestyle,1778832998.779073
sober days counter,5,True,54,227,1,22043738647,lifestyle,1778832998.7790751
sober tracker,5,True,64,235,1,22043738647,lifestyle,1778832998.779076
sobriety counter,5,True,60,221,1,22043738647,lifestyle,1778832998.779087
sobriety tracker,5,True,68,227,1,22043738647,lifestyle,1778832998.7790878
social media graphics,5,True,61,207,1,16120807211,graphics-and-design,1778832998.779093
spiritual guidance,5,True,54,217,1,281336005308,lifestyle,1778832998.779095
spiritual reading,5,True,55,229,1,337352385605,lifestyle,1778833025.541337
split expenses,5,True,39,237,1,7237471,finance,1778833025.541344
tarot app,5,True,59,238,1,337352385605,lifestyle,1778833050.270326
tax deduction,5,True,65,207,1,27241585014,finance,1778833050.2703328
tax deduction tracker,5,True,66,227,1,41540288277,finance,1778833050.270334
theme icons,5,True,78,219,1,333890705980,graphics-and-design,1778833050.270338
tinder helper,5,True,75,215,1,336359375481,lifestyle,1778833074.763902
transits,5,True,53,181,1,14013665,lifestyle,1778833074.763912
trip expenses,5,True,53,230,1,7237471,finance,1778833074.763943
virtual makeover,5,True,79,206,1,338302124764,photo-and-video,1778833100.5367522
watch face designer,5,True,58,222,1,42019540235,lifestyle,1778833100.53677
watch face maker,5,True,55,210,1,42019540235,lifestyle,1778833100.536772
watermark pdf,5,True,49,229,1,283470740242,graphics-and-design,1778833128.757296
watermark video,5,True,63,217,1,283470740242,graphics-and-design,1778833128.757299
wear os faces,5,True,57,206,1,42019540235,lifestyle,1778833128.7573
weight management,5,True,83,226,1,338253057122,health-and-fitness,1778833159.23004
widget themes,5,True,81,239,1,333890705980,graphics-and-design,1778833159.230059
women fitness,5,True,64,236,1,39942537961,health-and-fitness,1778833159.230061
work timer,5,True,67,238,1,40035508212,productivity,1778833182.0337129
workout generator,5,True,73,237,1,338147689315,health-and-fitness,1778833182.033727
